"cited","citing"
"10.1016/j.str.2020.04.005","10.1016/j.medidd.2021.100081"
"10.1016/j.str.2020.04.005","10.1039/d1md00188d"
"10.1016/j.str.2020.04.005","10.1039/d1md00098e"
"10.1016/j.str.2020.04.005","10.1080/07391102.2023.2212796"
"10.1016/j.str.2020.04.005","10.1016/j.sbi.2022.102336"
"10.1016/j.str.2020.04.005","10.1016/j.bioorg.2021.105563"
"10.1016/j.str.2020.04.005","10.1146/annurev-immunol-042718-041309"
"10.1016/j.str.2020.04.005","10.1021/acschembio.3c00113"
"10.1016/j.str.2020.04.005","10.1021/acs.jmedchem.3c00770"
"10.1016/j.str.2020.04.005","10.1002/ange.202219095"
"10.1016/j.str.2020.04.005","10.1016/j.antiviral.2024.105834"
"10.1016/j.str.2020.04.005","10.1002/adma.202208309"
"10.1016/j.str.2020.04.005","10.1271/kagakutoseibutsu.60.284"
"10.1016/j.str.2020.04.005","10.1002/anie.202219095"
"10.1016/j.str.2020.04.005","10.1038/s41598-023-33529-w"
"10.1016/j.str.2020.04.005","10.1021/acs.biochem.0c00912"
"10.1021/acs.jcim.7b00677","10.1021/acs.jcim.9b00057"
"10.1021/acs.jcim.7b00677","10.1093/bioinformatics/btz515"
"10.1016/j.jmb.2021.167160","10.1016/j.jmb.2021.167231"
"10.1016/j.jmb.2021.167160","10.1016/j.csbj.2022.11.014"
"10.1016/j.jmb.2021.167160","10.1007/s00253-022-12067-x"
"10.1016/j.jmb.2021.167160","10.34133/bdr.0006"
"10.1016/j.jmb.2021.167160","10.1038/s41534-023-00733-5"
"10.1016/j.jmb.2021.167160","10.1016/j.sbi.2022.102367"
"10.1016/j.jmb.2021.167160","10.1021/acs.iecr.1c04943"
"10.1016/j.jmb.2021.167160","10.1002/pro.4647"
"10.1016/j.jmb.2021.167160","10.3390/biology12020166"
"10.1016/j.jmb.2021.167160","10.1016/j.biotechadv.2023.108282"
"10.1016/j.jmb.2021.167160","10.1016/j.csbj.2023.04.027"
"10.1016/j.jmb.2021.167160","10.1016/j.cell.2023.12.028"
"10.1016/j.jmb.2021.167160","10.1002/chem.202202902"
"10.1016/j.jmb.2021.167160","10.1093/protein/gzae002"
"10.1016/j.jmb.2021.167160","10.1038/s41467-023-36024-y"
"10.1016/j.jmb.2021.167160","10.1021/acs.chemrev.2c00106"
"10.1016/j.jmb.2021.167160","10.1016/j.ijbiomac.2022.06.154"
"10.1016/j.jmb.2021.167160","10.1016/j.biotechadv.2021.107868"
"10.1016/j.jmb.2021.167160","10.3389/fmolb.2022.906437"
"10.1016/j.jmb.2021.167160","10.1002/cite.202200066"
"10.1016/j.jmb.2021.167160","10.1016/j.semcancer.2023.06.005"
"10.1016/j.jmb.2021.167160","10.1073/pnas.2303149120"
"10.1016/j.jmb.2021.167160","10.3390/pharmaceutics15010168"
"10.1016/j.jmb.2021.167160","10.1186/s12859-023-05281-5"
"10.1016/j.jmb.2021.167160","10.1021/acs.biomac.1c01539"
"10.1016/j.jmb.2021.167160","10.1093/bioinformatics/btae037"
"10.1016/j.jmb.2021.167160","10.1039/d2cp03972a"
"10.1016/j.jmb.2021.167160","10.1021/acssynbio.3c00064"
"10.1016/j.jmb.2021.167160","10.1021/acssynbio.3c00231"
"10.1016/j.jmb.2021.167160","10.1002/cbic.202200537"
"10.1016/j.jmb.2021.167160","10.1016/j.tifs.2023.104323"
"10.1016/j.jmb.2021.167160","10.2174/0929866530666230519122612"
"10.1016/j.jmb.2021.167160","10.1039/d3tb00991b"
"10.1016/j.jmb.2021.167160","10.1093/bioinformatics/btad027"
"10.1016/j.jmb.2021.167160","10.1016/j.cels.2023.06.009"
"10.1016/j.jmb.2021.167160","10.1111/febs.16819"
"10.1016/j.jmb.2021.167160","10.1007/s12010-023-04615-6"
"10.1016/j.jmb.2021.167160","10.1021/acscatal.2c01882"
"10.1016/j.jmb.2021.167160","10.1002/cbic.202300066"
"10.1016/j.jmb.2021.167160","10.1021/jacs.3c05531"
"10.1016/j.jmb.2021.167160","10.1093/protein/gzac015"
"10.1016/j.jmb.2021.167160","10.1016/j.jbc.2023.104579"
"10.1016/j.jmb.2021.167160","10.1038/s41589-022-01076-6"
"10.1016/j.jmb.2021.167160","10.1016/j.bbrc.2022.01.044"
"10.1016/j.jmb.2021.167160","10.1038/s41586-022-04868-x"
"10.1016/j.jmb.2021.167160","10.1039/d2sc04479j"
"10.1016/j.jmb.2021.167160","10.1039/d3sc00231d"
"10.1016/j.jmb.2021.167160","10.1038/s41587-024-02133-2"
"10.1016/j.jmb.2021.167160","10.1093/bioinformatics/btab631"
"10.1016/j.jmb.2021.167160","10.1038/s41557-023-01321-y"
"10.1016/j.jmb.2021.167160","10.1002/cbic.202300745"
"10.1016/j.jmb.2021.167160","10.1080/19420862.2021.2008790"
"10.1016/j.jmb.2021.167160","10.1098/rsob.220040"
"10.1016/j.jmb.2021.167160","10.3390/nano12224080"
"10.1002/adma.201804971","10.1002/adhm.202001211"
"10.1002/adma.201804971","10.1002/cjoc.202200459"
"10.1002/adma.201804971","10.1002/ange.202306427"
"10.1002/adma.201804971","10.1021/acs.analchem.9b05704"
"10.1002/adma.201804971","10.1002/viw.20200020"
"10.1002/adma.201804971","10.1002/anie.201908185"
"10.1002/adma.201804971","10.1002/cmdc.202100254"
"10.1002/adma.201804971","10.1021/jacs.2c01323"
"10.1002/adma.201804971","10.1021/jacs.2c00697"
"10.1002/adma.201804971","10.1088/2632-959x/ac2a8e"
"10.1002/adma.201804971","10.1063/5.0035731"
"10.1002/adma.201804971","10.3390/molecules27196557"
"10.1002/adma.201804971","10.1021/jacs.1c06435"
"10.1002/adma.201804971","10.1016/j.ccr.2023.215600"
"10.1002/adma.201804971","10.1002/agt2.25"
"10.1002/adma.201804971","10.1002/ange.202314531"
"10.1002/adma.201804971","10.3389/fbioe.2021.782234"
"10.1002/adma.201804971","10.6023/cjoc202104020"
"10.1002/adma.201804971","10.1039/c9tb01227c"
"10.1002/adma.201804971","10.1002/exp.20210153"
"10.1002/adma.201804971","10.1080/10717544.2022.2058647"
"10.1002/adma.201804971","10.1021/acs.nanolett.1c03112"
"10.1002/adma.201804971","10.3390/bios12090683"
"10.1002/adma.201804971","10.1111/cpr.13279"
"10.1002/adma.201804971","10.1016/j.msec.2020.111261"
"10.1002/adma.201804971","10.1002/ange.202015126"
"10.1002/adma.201804971","10.3389/fbioe.2020.00504"
"10.1002/adma.201804971","10.1002/adma.202200048"
"10.1002/adma.201804971","10.1002/adma.202203518"
"10.1002/adma.201804971","10.1002/chem.202203225"
"10.1002/adma.201804971","10.1002/cnma.202100532"
"10.1002/adma.201804971","10.3389/fchem.2020.00824"
"10.1002/adma.201804971","10.1002/adma.202007293"
"10.1002/adma.201804971","10.1021/acsabm.0c00758"
"10.1002/adma.201804971","10.1021/acsabm.0c00707"
"10.1002/adma.201804971","10.1063/5.0045945"
"10.1002/adma.201804971","10.1039/d2cc01457b"
"10.1002/adma.201804971","10.1002/adhm.202300473"
"10.1002/adma.201804971","10.1002/smll.202101139"
"10.1002/adma.201804971","10.1016/j.cis.2023.102880"
"10.1002/adma.201804971","10.1002/ange.201908185"
"10.1002/adma.201804971","10.1002/smtd.201900403"
"10.1002/adma.201804971","10.1002/advs.202203351"
"10.1002/adma.201804971","10.2147/ijn.s291285"
"10.1002/adma.201804971","10.1007/s40242-023-2356-2"
"10.1002/adma.201804971","10.12677/ms.2023.135042"
"10.1002/adma.201804971","10.1360/ssv-2022-0067"
"10.1002/adma.201804971","10.1016/j.isci.2023.106620"
"10.1002/adma.201804971","10.3390/pharmaceutics15020482"
"10.1002/adma.201804971","10.1021/acs.nanolett.9b03136"
"10.1002/adma.201804971","10.1002/cbic.202200497"
"10.1002/adma.201804971","10.1016/j.jcis.2024.02.163"
"10.1002/adma.201804971","10.1039/d2bm01604d"
"10.1002/adma.201804971","10.3390/ijms24010456"
"10.1002/adma.201804971","10.1039/d1cc06355c"
"10.1002/adma.201804971","10.1002/anie.202306427"
"10.1002/adma.201804971","10.1002/anie.202314531"
"10.1002/adma.201804971","10.1039/d1bm00782c"
"10.1002/adma.201804971","10.1021/jacs.2c13214"
"10.1002/adma.201804971","10.1039/d0bm00895h"
"10.1002/adma.201804971","10.1039/c9bm01212e"
"10.1002/adma.201804971","10.1002/anie.202015126"
"10.1002/adma.201804971","10.1007/s41061-020-00311-9"
"10.1002/adma.201804971","10.1007/s11426-021-1091-x"
"10.1002/adma.201804971","10.1039/d0cc03682j"
"10.1038/s41598-017-05037-1","10.1186/s12870-018-1361-y"
"10.1038/s41598-017-05037-1","10.1016/j.foodchem.2021.129338"
"10.1038/s41598-017-05037-1","10.3389/fpls.2019.00973"
"10.1038/s41598-017-05037-1","10.1002/ange.202317789"
"10.1038/s41598-017-05037-1","10.1021/acs.jnatprod.8b00521"
"10.1038/s41598-017-05037-1","10.1016/j.ijbiomac.2021.12.139"
"10.1038/s41598-017-05037-1","10.1002/cbic.201900127"
"10.1038/s41598-017-05037-1","10.1039/d3np00042g"
"10.1038/s41598-017-05037-1","10.1002/anie.202317789"
"10.3389/fimmu.2022.999034","10.1038/s41587-024-02127-0"
"10.3389/fimmu.2022.999034","10.1021/acs.nanolett.3c01983"
"10.3389/fimmu.2022.999034","10.1016/j.cobme.2023.100473"
"10.1039/c7sc03956e","10.1021/acs.biochem.9b00065"
"10.1039/c7sc03956e","10.1021/acschembio.2c00083"
"10.1039/c7sc03956e","10.1038/s41467-022-29210-x"
"10.1039/c7sc03956e","10.1021/jacs.2c00216"
"10.1039/c7sc03956e","10.1021/jacs.0c06044"
"10.1039/c7sc03956e","10.1002/slct.201904042"
"10.1039/c7sc03956e","10.1021/acs.joc.0c01600"
"10.1039/c7sc03956e","10.1039/d2sc00924b"
"10.1039/c7sc03956e","10.1016/j.cogsc.2018.06.002"
"10.1039/c7sc03956e","10.1021/acs.joc.9b00164"
"10.1039/c7sc03956e","10.3389/fchem.2020.00228"
"10.1039/c7sc03956e","10.1016/j.tetlet.2019.03.061"
"10.1039/c7sc03956e","10.1039/d1ob00411e"
"10.1039/c7sc03956e","10.1021/acsmacrolett.3c00065"
"10.1039/c7sc03956e","10.1016/j.drudis.2019.05.008"
"10.1039/c7sc03956e","10.1021/jacs.2c12462"
"10.1039/c7sc03956e","10.1039/d1sc06998e"
"10.1002/advs.202104012","10.1002/pro.4819"
"10.1002/advs.202104012","10.3762/bjnano.13.22"
"10.1002/advs.202104012","10.1016/j.bbagen.2022.130288"
"10.1002/advs.202104012","10.1002/ange.202318365"
"10.1002/advs.202104012","10.1021/acs.langmuir.2c00200"
"10.1002/advs.202104012","10.1021/acs.langmuir.3c00635"
"10.1002/advs.202104012","10.1124/jpet.123.001673"
"10.1002/advs.202104012","10.3762/bjnano.14.30"
"10.1002/advs.202104012","10.1016/j.molliq.2022.120344"
"10.1002/advs.202104012","10.1016/j.ijbiomac.2024.130298"
"10.1002/advs.202104012","10.1021/acsnano.3c11179"
"10.1002/advs.202104012","10.3389/fmolb.2023.1178035"
"10.1002/advs.202104012","10.3390/ijms24043188"
"10.1002/advs.202104012","10.1002/ange.202218413"
"10.1002/advs.202104012","10.1002/ange.202216097"
"10.1002/advs.202104012","10.1002/adtp.202300007"
"10.1002/advs.202104012","10.1016/j.jmst.2023.03.036"
"10.1002/advs.202104012","10.1002/agt2.323"
"10.1002/advs.202104012","10.3390/pharmaceutics15082114"
"10.1002/advs.202104012","10.1002/adhm.202303294"
"10.1002/advs.202104012","10.1016/j.dyepig.2023.111601"
"10.1002/advs.202104012","10.1039/d2tb02163c"
"10.1002/advs.202104012","10.1016/j.jre.2023.01.004"
"10.1002/advs.202104012","10.1021/acsami.2c19026"
"10.1002/advs.202104012","10.1002/anie.202216097"
"10.1002/advs.202104012","10.1002/anie.202218413"
"10.1002/advs.202104012","10.1021/acsnano.3c00107"
"10.1002/advs.202104012","10.1002/anie.202318365"
"10.1002/advs.202104012","10.1021/acsomega.2c04805"
